tournament_id,year,match_date,group_name,home_team,home_code,away_team,away_code,home_score,away_score,result,home_pts,away_pts
WC-1994,1994,1994-06-17,Group C,Germany,DEU,Bolivia,BOL,1,0,home team win,1.0,0.0
WC-1994,1994,1994-06-17,Group C,Spain,ESP,South Korea,KOR,2,2,draw,0.5,0.5
WC-1994,1994,1994-06-18,Group A,United States,USA,Switzerland,CHE,1,1,draw,0.5,0.5
WC-1994,1994,1994-06-18,Group E,Italy,ITA,Republic of Ireland,IRL,0,1,away team win,0.0,1.0
WC-1994,1994,1994-06-18,Group A,Colombia,COL,Romania,ROU,1,3,away team win,0.0,1.0
WC-1994,1994,1994-06-19,Group F,Belgium,BEL,Morocco,MAR,1,0,home team win,1.0,0.0
WC-1994,1994,1994-06-19,Group E,Norway,NOR,Mexico,MEX,1,0,home team win,1.0,0.0
WC-1994,1994,1994-06-19,Group B,Cameroon,CMR,Sweden,SWE,2,2,draw,0.5,0.5
WC-1994,1994,1994-06-20,Group B,Brazil,BRA,Russia,RUS,2,0,home team win,1.0,0.0
WC-1994,1994,1994-06-20,Group F,Netherlands,NLD,Saudi Arabia,SAU,2,1,home team win,1.0,0.0
WC-1994,1994,1994-06-21,Group D,Argentina,ARG,Greece,GRC,4,0,home team win,1.0,0.0
WC-1994,1994,1994-06-21,Group C,Germany,DEU,Spain,ESP,1,1,draw,0.5,0.5
WC-1994,1994,1994-06-21,Group D,Nigeria,NGA,Bulgaria,BGR,3,0,home team win,1.0,0.0
WC-1994,1994,1994-06-22,Group A,Romania,ROU,Switzerland,CHE,1,4,away team win,0.0,1.0
WC-1994,1994,1994-06-22,Group A,United States,USA,Colombia,COL,2,1,home team win,1.0,0.0
WC-1994,1994,1994-06-23,Group E,Italy,ITA,Norway,NOR,1,0,home team win,1.0,0.0
WC-1994,1994,1994-06-23,Group C,South Korea,KOR,Bolivia,BOL,0,0,draw,0.5,0.5
WC-1994,1994,1994-06-24,Group E,Mexico,MEX,Republic of Ireland,IRL,2,1,home team win,1.0,0.0
WC-1994,1994,1994-06-24,Group B,Brazil,BRA,Cameroon,CMR,3,0,home team win,1.0,0.0
WC-1994,1994,1994-06-24,Group B,Sweden,SWE,Russia,RUS,3,1,home team win,1.0,0.0
WC-1994,1994,1994-06-25,Group F,Belgium,BEL,Netherlands,NLD,1,0,home team win,1.0,0.0
WC-1994,1994,1994-06-25,Group F,Saudi Arabia,SAU,Morocco,MAR,2,1,home team win,1.0,0.0
WC-1994,1994,1994-06-25,Group D,Argentina,ARG,Nigeria,NGA,2,1,home team win,1.0,0.0
WC-1994,1994,1994-06-26,Group D,Bulgaria,BGR,Greece,GRC,4,0,home team win,1.0,0.0
WC-1994,1994,1994-06-26,Group A,Switzerland,CHE,Colombia,COL,0,2,away team win,0.0,1.0
WC-1994,1994,1994-06-26,Group A,United States,USA,Romania,ROU,0,1,away team win,0.0,1.0
WC-1994,1994,1994-06-27,Group C,Bolivia,BOL,Spain,ESP,1,3,away team win,0.0,1.0
WC-1994,1994,1994-06-27,Group C,Germany,DEU,South Korea,KOR,3,2,home team win,1.0,0.0
WC-1994,1994,1994-06-28,Group E,Italy,ITA,Mexico,MEX,1,1,draw,0.5,0.5
WC-1994,1994,1994-06-28,Group E,Republic of Ireland,IRL,Norway,NOR,0,0,draw,0.5,0.5
WC-1994,1994,1994-06-28,Group B,Russia,RUS,Cameroon,CMR,6,1,home team win,1.0,0.0
WC-1994,1994,1994-06-28,Group B,Brazil,BRA,Sweden,SWE,1,1,draw,0.5,0.5
WC-1994,1994,1994-06-29,Group F,Belgium,BEL,Saudi Arabia,SAU,0,1,away team win,0.0,1.0
