year,group_name,team_a,team_b,team_c,ab_pts_for_a,bc_pts_for_b,ac_pts_for_a,a_beats_b,b_beats_c,is_transitivity_triple,transitive,rank_a,rank_b,rank_c,rank_gap_ab,rank_gap_bc,rank_gap_ac
1994,Group A,Colombia,Romania,Switzerland,0.0,0.0,1.0,0,0,0,,17,7,12,10,-5,5
1994,Group A,Colombia,Romania,United States,0.0,1.0,0.0,0,1,0,,17,7,,10,,
1994,Group A,Colombia,Switzerland,Romania,1.0,1.0,0.0,1,1,1,0,17,12,7,5,5,10
1994,Group A,Colombia,Switzerland,United States,1.0,0.5,0.0,1,0,0,,17,12,,5,,
1994,Group A,Colombia,United States,Romania,0.0,0.0,0.0,0,0,0,,17,,7,,,10
1994,Group A,Colombia,United States,Switzerland,0.0,0.5,1.0,0,0,0,,17,,12,,,5
1994,Group A,Romania,Colombia,Switzerland,1.0,1.0,0.0,1,1,1,0,7,17,12,-10,5,-5
1994,Group A,Romania,Colombia,United States,1.0,0.0,1.0,1,0,0,,7,17,,-10,,
1994,Group A,Romania,Switzerland,Colombia,0.0,0.0,1.0,0,0,0,,7,12,17,-5,-5,-10
1994,Group A,Romania,Switzerland,United States,0.0,0.5,1.0,0,0,0,,7,12,,-5,,
1994,Group A,Romania,United States,Colombia,1.0,1.0,1.0,1,1,1,1,7,,17,,,-10
1994,Group A,Romania,United States,Switzerland,1.0,0.5,0.0,1,0,0,,7,,12,,,-5
1994,Group A,Switzerland,Colombia,Romania,0.0,0.0,1.0,0,0,0,,12,17,7,-5,10,5
1994,Group A,Switzerland,Colombia,United States,0.0,0.0,0.5,0,0,0,,12,17,,-5,,
1994,Group A,Switzerland,Romania,Colombia,1.0,1.0,0.0,1,1,1,0,12,7,17,5,-10,-5
1994,Group A,Switzerland,Romania,United States,1.0,1.0,0.5,1,1,1,0,12,7,,5,,
1994,Group A,Switzerland,United States,Colombia,0.5,1.0,0.0,0,1,0,,12,,17,,,-5
1994,Group A,Switzerland,United States,Romania,0.5,0.0,1.0,0,0,0,,12,,7,,,5
1994,Group A,United States,Colombia,Romania,1.0,0.0,0.0,1,0,0,,,17,7,,10,
1994,Group A,United States,Colombia,Switzerland,1.0,1.0,0.5,1,1,1,0,,17,12,,5,
1994,Group A,United States,Romania,Colombia,0.0,1.0,1.0,0,1,0,,,7,17,,-10,
1994,Group A,United States,Romania,Switzerland,0.0,0.0,0.5,0,0,0,,,7,12,,-5,
1994,Group A,United States,Switzerland,Colombia,0.5,0.0,1.0,0,0,0,,,12,17,,-5,
1994,Group A,United States,Switzerland,Romania,0.5,1.0,0.0,0,1,0,,,12,7,,5,
1994,Group B,Brazil,Cameroon,Russia,1.0,0.0,1.0,1,0,0,,3,24,19,-21,5,-16
1994,Group B,Brazil,Cameroon,Sweden,1.0,0.5,0.5,1,0,0,,3,24,10,-21,14,-7
1994,Group B,Brazil,Russia,Cameroon,1.0,1.0,1.0,1,1,1,1,3,19,24,-16,-5,-21
1994,Group B,Brazil,Russia,Sweden,1.0,0.0,0.5,1,0,0,,3,19,10,-16,9,-7
1994,Group B,Brazil,Sweden,Cameroon,0.5,0.5,1.0,0,0,0,,3,10,24,-7,-14,-21
1994,Group B,Brazil,Sweden,Russia,0.5,1.0,1.0,0,1,0,,3,10,19,-7,-9,-16
1994,Group B,Cameroon,Brazil,Russia,0.0,1.0,0.0,0,1,0,,24,3,19,21,-16,5
1994,Group B,Cameroon,Brazil,Sweden,0.0,0.5,0.5,0,0,0,,24,3,10,21,-7,14
1994,Group B,Cameroon,Russia,Brazil,0.0,0.0,0.0,0,0,0,,24,19,3,5,16,21
1994,Group B,Cameroon,Russia,Sweden,0.0,0.0,0.5,0,0,0,,24,19,10,5,9,14
1994,Group B,Cameroon,Sweden,Brazil,0.5,0.5,0.0,0,0,0,,24,10,3,14,7,21
1994,Group B,Cameroon,Sweden,Russia,0.5,1.0,0.0,0,1,0,,24,10,19,14,-9,5
1994,Group B,Russia,Brazil,Cameroon,0.0,1.0,1.0,0,1,0,,19,3,24,16,-21,-5
1994,Group B,Russia,Brazil,Sweden,0.0,0.5,0.0,0,0,0,,19,3,10,16,-7,9
1994,Group B,Russia,Cameroon,Brazil,1.0,0.0,0.0,1,0,0,,19,24,3,-5,21,16
1994,Group B,Russia,Cameroon,Sweden,1.0,0.5,0.0,1,0,0,,19,24,10,-5,14,9
1994,Group B,Russia,Sweden,Brazil,0.0,0.5,0.0,0,0,0,,19,10,3,9,7,16
1994,Group B,Russia,Sweden,Cameroon,0.0,0.5,1.0,0,0,0,,19,10,24,9,-14,-5
1994,Group B,Sweden,Brazil,Cameroon,0.5,1.0,0.5,0,1,0,,10,3,24,7,-21,-14
1994,Group B,Sweden,Brazil,Russia,0.5,1.0,1.0,0,1,0,,10,3,19,7,-16,-9
1994,Group B,Sweden,Cameroon,Brazil,0.5,0.0,0.5,0,0,0,,10,24,3,-14,21,7
1994,Group B,Sweden,Cameroon,Russia,0.5,0.0,1.0,0,0,0,,10,24,19,-14,5,-9
1994,Group B,Sweden,Russia,Brazil,1.0,0.0,0.5,1,0,0,,10,19,3,-9,16,7
1994,Group B,Sweden,Russia,Cameroon,1.0,1.0,0.5,1,1,1,0,10,19,24,-9,-5,-14
1994,Group C,Bolivia,Germany,South Korea,0.0,1.0,0.5,0,1,0,,43,1,,42,,
1994,Group C,Bolivia,Germany,Spain,0.0,0.5,0.0,0,0,0,,43,1,5,42,-4,38
1994,Group C,Bolivia,South Korea,Germany,0.5,0.0,0.0,0,0,0,,43,,1,,,42
1994,Group C,Bolivia,South Korea,Spain,0.5,0.5,0.0,0,0,0,,43,,5,,,38
1994,Group C,Bolivia,Spain,Germany,0.0,0.5,0.0,0,0,0,,43,5,1,38,4,42
1994,Group C,Bolivia,Spain,South Korea,0.0,0.5,0.5,0,0,0,,43,5,,38,,
1994,Group C,Germany,Bolivia,South Korea,1.0,0.5,1.0,1,0,0,,1,43,,-42,,
1994,Group C,Germany,Bolivia,Spain,1.0,0.0,0.5,1,0,0,,1,43,5,-42,38,-4
1994,Group C,Germany,South Korea,Bolivia,1.0,0.5,1.0,1,0,0,,1,,43,,,-42
1994,Group C,Germany,South Korea,Spain,1.0,0.5,0.5,1,0,0,,1,,5,,,-4
1994,Group C,Germany,Spain,Bolivia,0.5,1.0,1.0,0,1,0,,1,5,43,-4,-38,-42
1994,Group C,Germany,Spain,South Korea,0.5,0.5,1.0,0,0,0,,1,5,,-4,,
1994,Group C,South Korea,Bolivia,Germany,0.5,0.0,0.0,0,0,0,,,43,1,,42,
1994,Group C,South Korea,Bolivia,Spain,0.5,0.0,0.5,0,0,0,,,43,5,,38,
1994,Group C,South Korea,Germany,Bolivia,0.0,1.0,0.5,0,1,0,,,1,43,,-42,
1994,Group C,South Korea,Germany,Spain,0.0,0.5,0.5,0,0,0,,,1,5,,-4,
1994,Group C,South Korea,Spain,Bolivia,0.5,1.0,0.5,0,1,0,,,5,43,,-38,
1994,Group C,South Korea,Spain,Germany,0.5,0.5,0.0,0,0,0,,,5,1,,4,
1994,Group C,Spain,Bolivia,Germany,1.0,0.0,0.5,1,0,0,,5,43,1,-38,42,4
1994,Group C,Spain,Bolivia,South Korea,1.0,0.5,0.5,1,0,0,,5,43,,-38,,
1994,Group C,Spain,Germany,Bolivia,0.5,1.0,1.0,0,1,0,,5,1,43,4,-42,-38
